Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step  423 | loss +0.1703 | reward 0.075 | solved   0.0%
step  424 | loss -0.0427 | reward 0.081 | solved   0.0%
step  425 | loss +0.0692 | reward 0.091 | solved   0.0%
step  426 | loss +0.1555 | reward 0.081 | solved   0.0%
step  427 | loss +0.1041 | reward 0.078 | solved   0.0%
step  428 | loss +0.0516 | reward 0.091 | solved   0.0%
step  429 | loss +0.2807 | reward 0.078 | solved   0.0%
step  430 | loss +0.0476 | reward 0.094 | solved   0.0%
step  431 | loss +0.0423 | reward 0.094 | solved   0.0%
step  432 | loss +0.1133 | reward 0.091 | solved   0.0%
step  433 | loss +0.1640 | reward 0.053 | solved   0.0%
step  434 | loss +0.1184 | reward 0.078 | solved   0.0%
step  435 | loss +0.0331 | reward 0.491 | solved  43.8%
step  436 | loss +0.1105 | reward 0.088 | solved   0.0%
step  437 | loss +0.0321 | reward 0.156 | solved   6.2%
step  438 | loss +0.0966 | reward 0.097 | solved   0.0%
step  439 | loss -0.0198 | reward 0.084 | solved   0.0%
step  440 | loss +0.0161 | reward 0.100 | solved   0.0%
step  441 | loss +0.0434 | reward 0.150 | solved   6.2%
step  442 | loss -0.0144 | reward 0.078 | solved   0.0%
step  443 | loss +0.0679 | reward 0.194 | solved  12.5%
step  444 | loss +0.1377 | reward 0.081 | solved   0.0%
step  445 | loss +0.0592 | reward 0.256 | solved  18.8%
step  446 | loss +0.0600 | reward 0.091 | solved   0.0%
step  447 | loss +0.0168 | reward 0.094 | solved   0.0%
step  448 | loss +0.1475 | reward 0.088 | solved   0.0%
step  449 | loss +0.0049 | reward 0.072 | solved   0.0%
step  450 | loss +0.0317 | reward 0.203 | solved  12.5%
step  451 | loss +0.0230 | reward 0.438 | solved  37.5%
step  452 | loss +0.0623 | reward 0.097 | solved   0.0%
step  453 | loss +0.0269 | reward 0.494 | solved  43.8%
step  454 | loss +0.1281 | reward 0.094 | solved   0.0%
step  455 | loss +0.0553 | reward 0.097 | solved   0.0%
step  456 | loss -0.0186 | reward 0.078 | solved   0.0%
step  457 | loss -0.0107 | reward 0.088 | solved   0.0%
step  458 | loss +0.0204 | reward 0.097 | solved   0.0%
