Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
config | reward=dense | steps=1500 | group=8 | bsz=2 | lr=3e-06 | max_new_tokens=128 | out=model_dense
step  403 | loss +0.0672 | reward 0.151 | solved   6.2%
step  404 | loss -0.0020 | reward 0.263 | solved   6.2%
step  405 | loss +0.0205 | reward 0.202 | solved  12.5%
step  406 | loss +0.0333 | reward 0.254 | solved   0.0%
step  407 | loss +0.3430 | reward 0.150 | solved   0.0%
step  408 | loss -0.0207 | reward 0.131 | solved   0.0%
step  409 | loss +0.0178 | reward 0.154 | solved   0.0%
step  410 | loss +0.0769 | reward 0.170 | solved   6.2%
step  411 | loss +0.0110 | reward 0.273 | solved   0.0%
step  412 | loss +0.0636 | reward 0.141 | solved   0.0%
step  413 | loss -0.0213 | reward 0.398 | solved  25.0%
step  414 | loss +0.0647 | reward 0.105 | solved   0.0%
step  415 | loss +0.0660 | reward 0.157 | solved   0.0%
step  416 | loss +0.0414 | reward 0.168 | solved   0.0%
step  417 | loss -0.0637 | reward 0.145 | solved   0.0%
step  418 | loss +0.0287 | reward 0.186 | solved   0.0%
step  419 | loss +0.0617 | reward 0.278 | solved  12.5%
step  420 | loss +0.1630 | reward 0.187 | solved   0.0%
step  421 | loss +0.0079 | reward 0.205 | solved   0.0%
step  422 | loss +0.0833 | reward 0.137 | solved   0.0%
step  423 | loss +0.0078 | reward 0.138 | solved   0.0%
step  424 | loss +0.0316 | reward 0.221 | solved   0.0%
step  425 | loss +0.0568 | reward 0.208 | solved  12.5%
step  426 | loss +0.0088 | reward 0.144 | solved   0.0%
step  427 | loss +0.0147 | reward 0.215 | solved   0.0%
step  428 | loss +0.1204 | reward 0.277 | solved  12.5%
step  429 | loss +0.1053 | reward 0.151 | solved   0.0%
step  430 | loss +0.0049 | reward 0.277 | solved   6.2%
step  431 | loss +0.0491 | reward 0.109 | solved   0.0%
step  432 | loss +0.0177 | reward 0.267 | solved   0.0%
step  433 | loss +0.1894 | reward 0.163 | solved   0.0%
step  434 | loss -0.0252 | reward 0.127 | solved   0.0%
step  435 | loss -0.1086 | reward 0.238 | solved   6.2%
step  436 | loss +0.0236 | reward 0.325 | solved  12.5%
step  437 | loss +0.1017 | reward 0.066 | solved   0.0%
step  438 | loss -0.0209 | reward 0.057 | solved   0.0%
step  439 | loss +0.0669 | reward 0.071 | solved   0.0%
step  440 | loss +0.0168 | reward 0.222 | solved   0.0%
step  441 | loss +0.0452 | reward 0.221 | solved   6.2%
step  442 | loss +0.0265 | reward 0.174 | solved   0.0%
step  443 | loss +0.0393 | reward 0.086 | solved   0.0%
step  444 | loss +0.0007 | reward 0.092 | solved   0.0%
step  445 | loss +0.0375 | reward 0.292 | solved   6.2%
step  446 | loss +0.0085 | reward 0.238 | solved   0.0%
step  447 | loss +0.0359 | reward 0.103 | solved   0.0%
step  448 | loss +0.0314 | reward 0.161 | solved   0.0%
