Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step  408 | loss +0.0367 | reward 0.094 | solved   0.0%
step  409 | loss -0.0403 | reward 0.072 | solved   0.0%
step  410 | loss +0.3069 | reward 0.081 | solved   0.0%
step  411 | loss +0.0175 | reward 0.084 | solved   0.0%
step  412 | loss +0.0407 | reward 0.091 | solved   0.0%
step  413 | loss +0.0865 | reward 0.300 | solved  25.0%
step  414 | loss +0.0765 | reward 0.088 | solved   0.0%
step  415 | loss +0.0757 | reward 0.428 | solved  37.5%
step  416 | loss +0.0865 | reward 0.081 | solved   0.0%
step  417 | loss +0.0368 | reward 0.094 | solved   0.0%
step  418 | loss +0.0581 | reward 0.081 | solved   0.0%
step  419 | loss +0.0722 | reward 0.366 | solved  31.2%
step  420 | loss +0.0901 | reward 0.081 | solved   0.0%
step  421 | loss +0.0335 | reward 0.091 | solved   0.0%
step  422 | loss +0.0877 | reward 0.263 | solved  18.8%
step  423 | loss +0.0493 | reward 0.091 | solved   0.0%
step  424 | loss +0.0218 | reward 0.156 | solved   6.2%
step  425 | loss +0.0935 | reward 0.484 | solved  43.8%
step  426 | loss +0.1348 | reward 0.078 | solved   0.0%
step  427 | loss +0.0111 | reward 0.091 | solved   0.0%
step  428 | loss +0.0097 | reward 0.250 | solved  18.8%
step  429 | loss +0.0825 | reward 0.084 | solved   0.0%
step  430 | loss +0.0384 | reward 0.147 | solved   6.2%
step  431 | loss +0.0533 | reward 0.094 | solved   0.0%
step  432 | loss -0.0309 | reward 0.081 | solved   0.0%
step  433 | loss +0.0628 | reward 0.097 | solved   0.0%
step  434 | loss +0.0585 | reward 0.084 | solved   0.0%
step  435 | loss +0.0081 | reward 0.147 | solved   6.2%
step  436 | loss +0.0335 | reward 0.091 | solved   0.0%
step  437 | loss +0.0300 | reward 0.081 | solved   0.0%
step  438 | loss -0.0615 | reward 0.078 | solved   0.0%
step  439 | loss +0.0310 | reward 0.128 | solved   6.2%
step  440 | loss +0.0139 | reward 0.091 | solved   0.0%
step  441 | loss +0.0291 | reward 0.091 | solved   0.0%
step  442 | loss +0.0321 | reward 0.078 | solved   0.0%
step  443 | loss +0.4420 | reward 0.091 | solved   0.0%
step  444 | loss +0.0378 | reward 0.097 | solved   0.0%
step  445 | loss -0.0070 | reward 0.091 | solved   0.0%
step  446 | loss -0.0043 | reward 0.150 | solved   6.2%
step  447 | loss +0.0318 | reward 0.078 | solved   0.0%
step  448 | loss +0.0569 | reward 0.084 | solved   0.0%
step  449 | loss +0.0814 | reward 0.075 | solved   0.0%
step  450 | loss +0.0706 | reward 0.091 | solved   0.0%
step  451 | loss +0.7964 | reward 0.084 | solved   0.0%
step  452 | loss +0.0553 | reward 0.088 | solved   0.0%
step  453 | loss -0.0228 | reward 0.088 | solved   0.0%
step  454 | loss +0.1282 | reward 0.147 | solved   6.2%
step  455 | loss +0.0855 | reward 0.072 | solved   0.0%
step  456 | loss +0.0335 | reward 0.081 | solved   0.0%
step  457 | loss +0.0130 | reward 0.088 | solved   0.0%
step  458 | loss +0.0529 | reward 0.088 | solved   0.0%
