Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step  271 | loss +0.0329 | reward 0.053 | solved   0.0%
step  272 | loss +0.1173 | reward 0.072 | solved   0.0%
step  273 | loss -0.0259 | reward 0.062 | solved   0.0%
step  274 | loss +0.0143 | reward 0.041 | solved   0.0%
step  275 | loss +0.0306 | reward 0.047 | solved   0.0%
step  276 | loss +0.5870 | reward 0.059 | solved   0.0%
step  277 | loss +0.0224 | reward 0.047 | solved   0.0%
step  278 | loss +0.0942 | reward 0.072 | solved   0.0%
step  279 | loss -0.0390 | reward 0.044 | solved   0.0%
step  280 | loss +0.0372 | reward 0.062 | solved   0.0%
step  281 | loss +0.0881 | reward 0.047 | solved   0.0%
step  282 | loss -0.2762 | reward 0.122 | solved   6.2%
step  283 | loss +0.3517 | reward 0.059 | solved   0.0%
step  284 | loss -0.0449 | reward 0.059 | solved   0.0%
step  285 | loss +0.1160 | reward 0.062 | solved   0.0%
step  286 | loss +0.2980 | reward 0.050 | solved   0.0%
step  287 | loss -0.0037 | reward 0.069 | solved   0.0%
step  288 | loss +0.4191 | reward 0.075 | solved   0.0%
step  289 | loss +0.0329 | reward 0.059 | solved   0.0%
step  290 | loss +0.0318 | reward 0.044 | solved   0.0%
step  291 | loss +0.0394 | reward 0.062 | solved   0.0%
step  292 | loss +0.4199 | reward 0.056 | solved   0.0%
step  293 | loss +0.0028 | reward 0.056 | solved   0.0%
step  294 | loss +0.3216 | reward 0.062 | solved   0.0%
step  295 | loss +0.1103 | reward 0.041 | solved   0.0%
step  296 | loss +0.0759 | reward 0.059 | solved   0.0%
step  297 | loss +0.0026 | reward 0.050 | solved   0.0%
step  298 | loss -0.0173 | reward 0.056 | solved   0.0%
step  299 | loss +0.0197 | reward 0.047 | solved   0.0%
step  300 | loss +0.0784 | reward 0.056 | solved   0.0%
step  301 | loss +0.0396 | reward 0.053 | solved   0.0%
step  302 | loss +0.0272 | reward 0.056 | solved   0.0%
step  303 | loss +0.4176 | reward 0.072 | solved   0.0%
step  304 | loss +0.0447 | reward 0.059 | solved   0.0%
step  305 | loss +0.0351 | reward 0.066 | solved   0.0%
step  306 | loss +0.0306 | reward 0.066 | solved   0.0%
step  307 | loss +0.0135 | reward 0.069 | solved   0.0%
step  308 | loss +0.3161 | reward 0.056 | solved   0.0%
step  309 | loss +0.1683 | reward 0.038 | solved   0.0%
step  310 | loss +0.0029 | reward 0.050 | solved   0.0%
step  311 | loss +0.0816 | reward 0.078 | solved   0.0%
step  312 | loss +0.1230 | reward 0.059 | solved   0.0%
step  313 | loss +0.0026 | reward 0.047 | solved   0.0%
step  314 | loss +0.2696 | reward 0.041 | solved   0.0%
step  315 | loss +0.0127 | reward 0.066 | solved   0.0%
step  316 | loss -0.0465 | reward 0.081 | solved   0.0%
step  317 | loss -0.0326 | reward 0.053 | solved   0.0%
step  318 | loss -0.0101 | reward 0.069 | solved   0.0%
step  319 | loss +0.0366 | reward 0.075 | solved   0.0%
step  320 | loss +0.0023 | reward 0.050 | solved   0.0%
step  321 | loss +0.0397 | reward 0.072 | solved   0.0%
step  322 | loss +0.0845 | reward 0.056 | solved   0.0%
step  323 | loss +0.0703 | reward 0.066 | solved   0.0%
step  324 | loss -0.0256 | reward 0.050 | solved   0.0%
step  325 | loss -0.0612 | reward 0.069 | solved   0.0%
step  326 | loss +0.0232 | reward 0.053 | solved   0.0%
step  327 | loss +0.0280 | reward 0.059 | solved   0.0%
step  328 | loss +0.3257 | reward 0.047 | solved   0.0%
step  329 | loss +0.0265 | reward 0.075 | solved   0.0%
step  330 | loss +0.0075 | reward 0.047 | solved   0.0%
